AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
NmcA beta-lactamase	0.839440609	0.531537916	0.527315661	0.401647659	0.873948266	0.783728749	0.51315103	0.273269991	0.350950001	0.481729298	0.81397482	0.460465094	0.430465593
OCH beta-lactamase	0.49121435	0.256555936	0.06447718	0.125687046	0.041830437	0.402663966	0.034834416	0.006916752	0.073912705	0.067265031	0.150916832	0.024365977	0.04708798
OHIO beta-lactamase	0.186424729	0.02915847	0.022792988	0.019336711	0.006751987	0.067266459	0.004510925	0.003241785	0.010191671	0.004339462	0.040609962	0.005664719	0.027493341
OKP beta-lactamase	0.411504043	0.175831618	0.06708655	0.123377221	0.139337666	0.176226821	0.108923987	0.044843354	0.11234384	0.038289392	0.167109223	0.094699284	0.17222094
ORN beta-lactamase	0.108755112	0.006314028	0.014731609	0.028227889	0.006916752	0.123836199	0.012230006	0.004339462	0.007831921	0.00424854	0.170458711	0.01953021	0.028337105
ORR beta-lactamase	0.166137867	0.0865482	0.056455778	0.028869923	0.019450712	0.164425631	0.020732983	0.009572348	0.020888653	0.040934529	0.439429718	0.022176865	0.059261768
OXA beta-lactamase	22.48595894	9.525411106	4.982768265	14.508286	25.50635621	15.44655471	4.59066609	4.042131351	14.22383245	13.41902953	10.93565834	10.22623668	6.791921201
OXY beta-lactamase	0.86725685	0.267948972	0.573147644	1.0368327	0.468179692	0.350115883	0.506992388	0.497934945	1.075049269	0.641897025	0.915626872	0.490126438	0.736580425
PAC beta-lactamase	0.070671166	0.080396276	0.086968929	0.071842198	0.040900033	0.092405736	0.08797869	0.10564068	0.090760872	0.115267394	0.11089012	0.096369272	0.124923424
PAM beta-lactamase	0.274903395	0.070662255	0.043394616	0.03277804	0.023721013	0.180234121	0.033733999	0.008624336	0.042981062	0.019731338	0.190283277	0.036636197	0.027366281
PAU beta-lactamase	0.263624566	0.069431386	0.033358183	0.060895734	0.080036169	0.166894519	0.051335335	0.053400714	0.046171331	0.068747506	0.094293162	0.030975022	0.095308488
PDC beta-lactamase	2.813899778	0.49747203	0.38590901	0.987316406	0.803401807	1.39098223	0.717653494	0.217833973	0.597243962	0.470264621	0.877525366	0.51220208	0.859497619
PER beta-lactamase	0.704582834	0.599044079	2.130428407	2.538927259	4.907247317	2.839355024	1.038263011	1.279194672	3.061825083	0.706410927	1.800487565	1.72375135	1.293159562
PFM beta-lactamase	0.280403611	0.149685965	0.146476573	0.055442162	0.158248457	0.184290698	0.074885677	0.062461712	0.055033291	0.085583132	0.245279558	0.048698403	0.033358183
PFM-like beta-lactamase	0.25049488	0.118068995	0.038193489	0.050795801	0.020125965	0.138722647	0.057056372	0.009924036	0.054461993	0.059791139	0.070395711	0.01769434	0.025137192
