""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"42"	"BIC Beta-lactamase"	0.0122300056393915	0.000964324803880443	0.00725177886135469	0.00849707912904939	0.051320902270339	0.0328462617403192	0.00903501891193731	0.00911719502982625	0.0122334296222633	0.0110487063806279	0.0306302626995472	0.00421019709736983	0.00713192769522031
"43"	"BIL Beta-lactamase"	0	0	0.00318640467339352	0	0	0.00903501891193731	0.000651228216416161	0	0	0	0.000902185092293535	0	0.00135888951548794
"44"	"BJP beta-lactamase"	0.116608604090583	0.0375287661533015	0.0262714142574354	0.0861104699678639	0.00492819213378399	0.225976191096408	0.0118388028602548	0.00368290212687598	0.0282278891544846	0.00751820910244612	0.112814128997121	0.0312544588562227	0.0332692057338753
"45"	"BKC Beta-lactamase"	0.136661355992211	0.0879786896062954	0.0568151554427143	0.0201234512129513	0.0293052697387272	0.0789253524016985	0.0227112297824019	0.00900890079398446	0.0123298629280116	0.0155605695168443	0.10259615841934	0.0202508208814893	0.027846830827602
"46"	"BPU Beta-lactamase"	0.144187296854762	0.143813362214371	0.0369614410033799	0.117872307171325	0.0501175987750785	0.0693613233894976	0.0840830740771883	0.0288699229533931	0.0966052024170751	0.0930839318109241	0.0949859931822236	0.0292971865998729	0.0453177553549301
"47"	"BRO Beta-lactamase"	0.205954938479839	0.0431216811706099	0.0722863320221939	0.0670865495414437	0.0497191787128257	0.111710369845407	0.027065552768806	0.0414948520449182	0.0631883624701894	0.0602703002425277	0.0725177886135469	0.0460258452823509	0.0604853491043281
"48"	"BSU beta-lactamase"	0.177414916816224	0.207741801036755	0.0903695284999447	0.390387625448854	0.299095506360284	0.104954199070148	0.280090251303198	0.170540634193737	0.214080106461458	0.124730596415301	0.1805629314923	0.283486888731396	0.269871988352893
"49"	"BUT beta-lactamase"	0.503399411289692	0.149958169563227	0.157137157413375	0.26666346350194	0.0881134106806686	0.326123602790529	0.248676781334294	0.0954681555841639	0.115738390627221	0.103735174367145	0.171680637356729	0.245903094650498	0.145792350624443
"50"	"Bah amidohydrolase"	0.92934602453	0.343737531841758	0.219216585986955	0.181038475186903	0.143286910967608	0.780002581890079	0.144648720582066	0.037129107770136	0.137723490883342	0.175346416090325	1.07860021660778	0.14168552384629	0.303472348849931
"51"	"BlaA beta-lactamase"	0.0951416382776294	0.0540534047639067	0.0378917738763285	0.0985502736066807	0.0788155918983007	0.10848654043655	0.0588844443542001	0.0378828111170119	0.113028177619199	0.119844468511976	0.132650504934352	0.0866133527833494	0.0643241622073843
